n_fila,oficio,identificador,titulo,emisor,receptor,fecha,url_documento,clave_unica
79,10955,2023-99-53-79,Visación de acta de reunión,"SEC, Región Metropolitana de Santiago",3 destinatarios,20/11/2023 08:58:51,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160560641,2023-99-53-79|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160560641
80,235004,2023-99-53-80,Visación de acta de reunión,Subsecretaría del Medio Ambiente,Servicio de Evaluación Ambiental Dirección Ejecutiva,20/11/2023 10:54:25,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507633,2023-99-53-80|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160507633
81,401,2023-99-53-81,Visación de acta de reunión,"SAG, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,20/11/2023 12:22:29,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160544177,2023-99-53-81|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160544177
82,52-EA/2023,2023-99-53-82,Visación de acta de reunión,"CONAF, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,20/11/2023 14:25:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160557384,2023-99-53-82|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160557384
83,53-EA/2023,2023-99-53-83,Oficio no participación en la evaluación,"CONAF, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,20/11/2023 14:26:19,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160559876,2023-99-53-83|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160559876
84,900,2023-99-53-84,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Diego de Almagro,Servicio de Evaluación Ambiental Dirección Ejecutiva,20/11/2023 18:10:02,https://seia.sea.gob.cl/archivos/2023/11/20/84d_ID_202303303350_ORD_900_MUNICIPALIDAD_DE_DIEGO_DE_ALMAGRO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-84|https://seia.sea.gob.cl/archivos/2023/11/20/84d_ID_202303303350_ORD_900_MUNICIPALIDAD_DE_DIEGO_DE_ALMAGRO_KIMAL_LO_AGUIRRE.pdf
85,003/2023,2023-99-53-85,Visación de acta de reunión,SEREMI MOP Región Metropolitana de Santiago,Servicio de Evaluación Ambiental Dirección Ejecutiva,20/11/2023 18:57:24,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160544543,2023-99-53-85|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160544543
86,1495/2023,2023-99-53-86,Visación de acta de reunión,Subsecretaría de Energía,Servicio de Evaluación Ambiental Dirección Ejecutiva,21/11/2023 15:14:00,https://seia.sea.gob.cl/archivos/2023/11/21/ID_202399303695_ORD_1495_MN_DE_ENERGIA.pdf,2023-99-53-86|https://seia.sea.gob.cl/archivos/2023/11/21/ID_202399303695_ORD_1495_MN_DE_ENERGIA.pdf
87,210,2023-99-53-87,Visación de acta de reunión,"SEREMI de Agricultura, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,22/11/2023 08:32:15,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160590448,2023-99-53-87|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160590448
88,1608,2023-99-53-88,Visación de acta de reunión,"SEREMI de Vivienda y Urbanismo, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,22/11/2023 12:19:34,https://seia.sea.gob.cl/archivos/2023/11/23/653_170065311848309Visa_conforme_acta_de_reunion_proyecto_EIA_Linea_de_Transmision_Electrica_HVDC_Kimal_-_Lo_Aguirre_.pdf,2023-99-53-88|https://seia.sea.gob.cl/archivos/2023/11/23/653_170065311848309Visa_conforme_acta_de_reunion_proyecto_EIA_Linea_de_Transmision_Electrica_HVDC_Kimal_-_Lo_Aguirre_.pdf
89,428,2023-99-53-89,Oficio no participación en la evaluación,"SEREMI de Agricultura, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,22/11/2023 14:55:59,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160591412,2023-99-53-89|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160591412
90,29 / ACC. 3492286 / CASO: 1832842,2023-99-53-90,Oficio no participación en la evaluación,"SEC, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,22/11/2023 15:30:31,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160581420,2023-99-53-90|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160581420
91,30 / ACC. 3494717 / CASO: 1832842,2023-99-53-91,Visación de acta de reunión,"SEC, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,23/11/2023 10:03:54,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160604180,2023-99-53-91|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160604180
92,1725,2023-99-53-92,Oficio no participación en la evaluación,"SAG, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,23/11/2023 15:50:20,https://seia.sea.gob.cl/archivos/2023/11/23/ee1_ID_202399303718_ORD_1725_SAG_COQUIMBO.pdf,2023-99-53-92|https://seia.sea.gob.cl/archivos/2023/11/23/ee1_ID_202399303718_ORD_1725_SAG_COQUIMBO.pdf
93,1473,2023-99-53-93,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Vivienda y Urbanismo, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,24/11/2023 11:44:04,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160618642,2023-99-53-93|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160618642
94,386,2023-99-53-94,Oficio no participación en la evaluación,"SEREMI de Agricultura, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,24/11/2023 12:00:41,https://seia.sea.gob.cl/archivos/2023/11/24/07f_ID_202399303729_ORD_386_SEREMI_DE_AGRICULTURA_R.M._SE_PRONUNCIA_SOBRE_KIMAL_LO_AGUIRRE.pdf,2023-99-53-94|https://seia.sea.gob.cl/archivos/2023/11/24/07f_ID_202399303729_ORD_386_SEREMI_DE_AGRICULTURA_R.M._SE_PRONUNCIA_SOBRE_KIMAL_LO_AGUIRRE.pdf
95,6100,2023-99-53-95,Oficio pronunciamiento con observaciones al EIA,"SERNAGEOMIN, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,24/11/2023 13:22:06,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160611449,2023-99-53-95|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160611449
96,45,2023-99-53-96,Oficio no participación en la evaluación,"SEC, Región de Valparaíso",2 destinatarios,24/11/2023 13:32:41,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160621431,2023-99-53-96|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160621431
97,2796,2023-99-53-97,Visación de acta de reunión,Servicio Nacional de Geología y Minería,Servicio de Evaluación Ambiental Dirección Ejecutiva,24/11/2023 16:35:23,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160518274,2023-99-53-97|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160518274
98,67/2023,2023-99-53-98,Oficio no participación en la evaluación,"SEREMI de Energía, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,27/11/2023 17:43:06,https://seia.sea.gob.cl/archivos/2023/11/28/ff8_ID_202399303742_ORD_67_MINISTERIO_DE_ENERGIA_REGION_DE_ATACAMA_INFORMA_SE_EXCLUYE_DE_PARTICIPAR_EN_PRONUNCIAMIENTO_PROYECTO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-98|https://seia.sea.gob.cl/archivos/2023/11/28/ff8_ID_202399303742_ORD_67_MINISTERIO_DE_ENERGIA_REGION_DE_ATACAMA_INFORMA_SE_EXCLUYE_DE_PARTICIPAR_EN_PRONUNCIAMIENTO_PROYECTO_KIMAL_LO_AGUIRRE.pdf
99,67,2023-99-53-99,Oficio no participación en la evaluación,"SEREMI de Energía, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,28/11/2023 08:59:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160609645,2023-99-53-99|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160609645
100,B32/4783,2023-99-53-100,Visación de acta de reunión,"Subsecretaría de Salud Pública, Ministerio de Salud",Servicio de Evaluación Ambiental Dirección Ejecutiva,28/11/2023 14:34:01,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160629386,2023-99-53-100|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160629386
101,(D.AC.) ORD. SEIA. Nş 477,2023-99-53-101,Visación de acta de reunión,Subsecretaría de Pesca y Acuicultura,11 destinatarios,28/11/2023 20:32:52,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160640426,2023-99-53-101|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160640426
102,126,2023-99-53-102,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Energía, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,01/12/2023 17:29:23,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160583447,2023-99-53-102|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160583447
103,51-EA/2023,2023-99-53-103,Oficio no participación en la evaluación,"CONAF, Región de Antofagasta",2 destinatarios,04/12/2023 08:48:08,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160477780,2023-99-53-103|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160477780
104,674,2023-99-53-104,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Tierra Amarilla,Servicio de Evaluación Ambiental Dirección Ejecutiva,04/12/2023 12:47:07,https://seia.sea.gob.cl/archivos/2023/12/05/99b_ORD._674_Mucip._T._Amarilla.pdf,2023-99-53-104|https://seia.sea.gob.cl/archivos/2023/12/05/99b_ORD._674_Mucip._T._Amarilla.pdf
105,10954,2023-99-53-105,Oficio no participación en la evaluación,"SEC, Región Metropolitana de Santiago",3 destinatarios,04/12/2023 16:10:37,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160706838,2023-99-53-105|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160706838
106,10955,2023-99-53-106,Visación de acta de reunión,Superintendencia de Electricidad y Combustibles,3 destinatarios,04/12/2023 16:11:26,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160706808,2023-99-53-106|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160706808
107,78,2023-99-53-107,Oficio no participación en la evaluación,"SEREMI de Energía, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,05/12/2023 12:16:04,https://seia.sea.gob.cl/archivos/2023/12/05/fd0_ORD._N_78_S._Energia.pdf,2023-99-53-107|https://seia.sea.gob.cl/archivos/2023/12/05/fd0_ORD._N_78_S._Energia.pdf
108,,2023-99-53-108,Acreditación aviso radial,Servicio de Evaluación Ambiental Dirección Ejecutiva,,06/12/2023 12:25:28,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160733427,2023-99-53-108|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160733427
109,024- 2023 SEIA,2023-99-53-109,Oficio pronunciamiento con observaciones al EIA,Servicio Nacional Turismo,Servicio de Evaluación Ambiental Dirección Ejecutiva,06/12/2023 13:49:45,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160724424,2023-99-53-109|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160724424
110,1000,2023-99-53-110,Oficio pronunciamiento con observaciones al EIA,"DOH, Región Metropolitana de Santiago",5 destinatarios,11/12/2023 10:20:01,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160756457,2023-99-53-110|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160756457
111,35656,2023-99-53-111,Oficio pronunciamiento con observaciones al EIA,"División de Normas, Ministerio de Transporte y Telecomunicaciones",4 destinatarios,11/12/2023 12:12:19,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160756711,2023-99-53-111|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160756711
112,4738,2023-99-53-112,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Pudahuel,Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2023 15:01:07,https://seia.sea.gob.cl/archivos/2023/12/11/909_OF_ORD_4738.pdf,2023-99-53-112|https://seia.sea.gob.cl/archivos/2023/12/11/909_OF_ORD_4738.pdf
113,133/2023,2023-99-53-113,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Energía, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2023 16:11:16,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160757092,2023-99-53-113|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160757092
114,505,2023-99-53-114,Oficio no participación en la evaluación,"DGA, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,11/12/2023 18:43:40,https://seia.sea.gob.cl/archivos/2023/12/12/31e_ID_202399303819_ORD_505_DGA_MOP_REGION_DE_ATACAMA_SE_PRONUNCIA_SOBRE_EL_EIA_DEL_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-114|https://seia.sea.gob.cl/archivos/2023/12/12/31e_ID_202399303819_ORD_505_DGA_MOP_REGION_DE_ATACAMA_SE_PRONUNCIA_SOBRE_EL_EIA_DEL_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
115,0982,2023-99-53-115,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Casablanca,Servicio de Evaluación Ambiental Dirección Ejecutiva,12/12/2023 12:36:21,https://seia.sea.gob.cl/archivos/2023/12/13/750_ID_202399303822_ORD_982_MUNI_DE_CASABLANCA.pdf,2023-99-53-115|https://seia.sea.gob.cl/archivos/2023/12/13/750_ID_202399303822_ORD_982_MUNI_DE_CASABLANCA.pdf
116,981,2023-99-53-116,Oficio no participación en la evaluación,"DOH, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,12/12/2023 12:46:04,https://seia.sea.gob.cl/archivos/2023/12/13/64a_ORD_DOH_REGION_DE_COQUIMBO_N__981.pdf,2023-99-53-116|https://seia.sea.gob.cl/archivos/2023/12/13/64a_ORD_DOH_REGION_DE_COQUIMBO_N__981.pdf
117,550,2023-99-53-117,Oficio pronunciamiento con observaciones al EIA,SEREMI de Desarrollo Social Y Familia Región de Atacama,Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 12:08:39,https://seia.sea.gob.cl/archivos/2023/12/13/ORD._550_SEREMI_DSF.pdf,2023-99-53-117|https://seia.sea.gob.cl/archivos/2023/12/13/ORD._550_SEREMI_DSF.pdf
118,4497/2023,2023-99-53-118,Oficio pronunciamiento con observaciones al EIA,"Servicio Agrícola y Ganadero, Dirección Nacional",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 12:41:27,https://seia.sea.gob.cl/archivos/2023/12/13/ID_202399303824_ORD_4497_SAG.pdf,2023-99-53-118|https://seia.sea.gob.cl/archivos/2023/12/13/ID_202399303824_ORD_4497_SAG.pdf
119,02529/2023,2023-99-53-119,Oficio pronunciamiento Gobierno Regional,"Gobierno Regional, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 13:00:43,https://seia.sea.gob.cl/archivos/2023/12/13/bb5_ID_202399303825_2529_GORE_ANTOFAGASTA.pdf,2023-99-53-119|https://seia.sea.gob.cl/archivos/2023/12/13/bb5_ID_202399303825_2529_GORE_ANTOFAGASTA.pdf
120,04/1/2237/14067,2023-99-53-120,Oficio pronunciamiento conforme sobre EIA,Dirección General de Aeronáutica Civil,Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 13:12:43,https://seia.sea.gob.cl/archivos/2023/12/13/649_OF_04-1-2237-14067_DGAC_SE_PRONUNCIA_SOBRE_EL_PROYECTO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-120|https://seia.sea.gob.cl/archivos/2023/12/13/649_OF_04-1-2237-14067_DGAC_SE_PRONUNCIA_SOBRE_EL_PROYECTO_KIMAL_LO_AGUIRRE.pdf
121,1495,2023-99-53-121,Oficio pronunciamiento con observaciones al EIA,"SEREMI MOP, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 15:22:45,https://seia.sea.gob.cl/archivos/2023/12/13/ID_202399303828_ORD_1495_SEREMI_MOP_DE_COQUIMBO.pdf,2023-99-53-121|https://seia.sea.gob.cl/archivos/2023/12/13/ID_202399303828_ORD_1495_SEREMI_MOP_DE_COQUIMBO.pdf
122,31/3/3411,2023-99-53-122,Oficio pronunciamiento Gobierno Regional,"Gobierno Regional, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 15:47:42,https://seia.sea.gob.cl/archivos/2023/12/13/OF_31-3-3411_GORE_VALPARAISO.pdf,2023-99-53-122|https://seia.sea.gob.cl/archivos/2023/12/13/OF_31-3-3411_GORE_VALPARAISO.pdf
123,451,2023-99-53-123,Oficio no participación en la evaluación,"DGA, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 15:53:13,https://seia.sea.gob.cl/archivos/2023/12/13/859_ORD_DGA_N_451.pdf,2023-99-53-123|https://seia.sea.gob.cl/archivos/2023/12/13/859_ORD_DGA_N_451.pdf
124,35709/2023 SRM-COQU,2023-99-53-124,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Transportes y Telecomunicaciones, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 16:02:21,https://seia.sea.gob.cl/archivos/2023/12/13/OFICIO_N_35709_Seremi_Transp.pdf,2023-99-53-124|https://seia.sea.gob.cl/archivos/2023/12/13/OFICIO_N_35709_Seremi_Transp.pdf
125,3302,2023-99-53-125,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Vivienda y Urbanismo, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 16:10:52,https://seia.sea.gob.cl/archivos/2023/12/13/ID_2023133031501_ORD_3302_MINVU.pdf,2023-99-53-125|https://seia.sea.gob.cl/archivos/2023/12/13/ID_2023133031501_ORD_3302_MINVU.pdf
126,1265,2023-99-53-126,Oficio no participación en la evaluación,"Dirección de Obras Hidráulica, Región de Valparaíso",5 destinatarios,13/12/2023 17:27:49,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160798151,2023-99-53-126|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160798151
127,730,2023-99-53-127,Oficio no participación en la evaluación,"SEREMI del Medio Ambiente, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,13/12/2023 18:59:49,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160788157,2023-99-53-127|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160788157
128,0728,2023-99-53-128,Oficio pronunciamiento conforme sobre EIA,"SEREMI MOP, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/12/2023 12:13:28,https://seia.sea.gob.cl/archivos/2023/12/14/ID_202302303573_Ord_728_SEREMI_MOP_ANTOFAGASTA.pdf,2023-99-53-128|https://seia.sea.gob.cl/archivos/2023/12/14/ID_202302303573_Ord_728_SEREMI_MOP_ANTOFAGASTA.pdf
129,36194/2023 UOCT,2023-99-53-129,Oficio no participación en la evaluación,"SEREMI de Transportes y Telecomunicaciones, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,14/12/2023 16:56:35,https://seia.sea.gob.cl/archivos/2023/12/14/ID_202399303836_OF_36194_SEREMITT_DE_ATACAMA.pdf,2023-99-53-129|https://seia.sea.gob.cl/archivos/2023/12/14/ID_202399303836_OF_36194_SEREMITT_DE_ATACAMA.pdf
130,1314 DBSN del 14.12.2023,2023-99-53-130,Oficio pronunciamiento con observaciones al EIA,Ministerio de Bienes Nacionales,Servicio de Evaluación Ambiental Dirección Ejecutiva,14/12/2023 18:06:40,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160817899,2023-99-53-130|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160817899
131,3058,2023-99-53-131,Oficio pronunciamiento con observaciones al EIA,Servicio Nacional de Geología y Minería,Servicio de Evaluación Ambiental Dirección Ejecutiva,14/12/2023 22:59:05,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160818983,2023-99-53-131|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160818983
132,40,2023-99-53-132,Oficio pronunciamiento con observaciones al EIA,"SECRETARIA REGIONAL MINISTERIAL DE SALUD, Región de Coquimbo",6 destinatarios,15/12/2023 08:23:53,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160814020,2023-99-53-132|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160814020
133,103-1026/2023,2023-99-53-133,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Catemu,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 09:27:33,https://seia.sea.gob.cl/archivos/2023/12/15/ORD_103-1023_MUNI_DE_CATEMU.pdf,2023-99-53-133|https://seia.sea.gob.cl/archivos/2023/12/15/ORD_103-1023_MUNI_DE_CATEMU.pdf
134,74,2023-99-53-134,Oficio pronunciamiento con observaciones al EIA,Dirección General de Aguas,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 09:36:38,https://seia.sea.gob.cl/archivos/2023/12/15/ID_202399303839_ORD_74_DGA.pdf,2023-99-53-134|https://seia.sea.gob.cl/archivos/2023/12/15/ID_202399303839_ORD_74_DGA.pdf
135,OE-00689/2023,2023-99-53-135,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Illapel,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 09:43:42,https://seia.sea.gob.cl/archivos/2023/12/15/ID_202399303840_OF_689_MUNI_DE_ILLAPEL.pdf,2023-99-53-135|https://seia.sea.gob.cl/archivos/2023/12/15/ID_202399303840_OF_689_MUNI_DE_ILLAPEL.pdf
136,673/2023,2023-99-53-136,Oficio pronunciamiento con observaciones al EIA,"Corporación Nacional Forestal, Dirección Ejecutiva",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 09:49:59,https://seia.sea.gob.cl/archivos/2023/12/15/OF_ORD_673_CONAF.pdf,2023-99-53-136|https://seia.sea.gob.cl/archivos/2023/12/15/OF_ORD_673_CONAF.pdf
137,235544,2023-99-53-137,Oficio pronunciamiento con observaciones al EIA,Subsecretaría del Medio Ambiente,6 destinatarios,15/12/2023 11:18:47,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160669023,2023-99-53-137|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160669023
138,416,2023-99-53-138,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Salud, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 12:52:51,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160806260,2023-99-53-138|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160806260
139,114,2023-99-53-139,Oficio no participación en la evaluación,"Servicio Nacional Turismo, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 14:40:29,https://seia.sea.gob.cl/archivos/2023/12/15/ORD._N_114_SERNATUR__1_.pdf,2023-99-53-139|https://seia.sea.gob.cl/archivos/2023/12/15/ORD._N_114_SERNATUR__1_.pdf
140,3688,2023-99-53-140,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Salud, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 14:41:56,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160789988,2023-99-53-140|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160789988
141,227,2023-99-53-141,Oficio no participación en la evaluación,"SEREMI de Agricultura, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 14:59:03,https://seia.sea.gob.cl/archivos/2023/12/15/e49_ORD_227_SEREMI_DE_AGRICULTURA_ANTOFAGASTA_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-141|https://seia.sea.gob.cl/archivos/2023/12/15/e49_ORD_227_SEREMI_DE_AGRICULTURA_ANTOFAGASTA_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
142,02350,2023-99-53-142,Visación de acta de reunión,Ilustre Municipalidad de Vallenar,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 15:00:58,https://seia.sea.gob.cl/archivos/2023/12/15/ID_2023133031526_ORD_2350_MUNI_DE_VALLENAR.pdf,2023-99-53-142|https://seia.sea.gob.cl/archivos/2023/12/15/ID_2023133031526_ORD_2350_MUNI_DE_VALLENAR.pdf
143,36187/2023 SRM-RM,2023-99-53-143,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Transportes y Telecomunicaciones, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 15:13:30,https://seia.sea.gob.cl/archivos/2023/12/15/ID_2023133031528_OF_36187_SEREMITT_R.M..pdf,2023-99-53-143|https://seia.sea.gob.cl/archivos/2023/12/15/ID_2023133031528_OF_36187_SEREMITT_R.M..pdf
144,02443,2023-99-53-144,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Vallenar,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/12/2023 15:21:02,https://seia.sea.gob.cl/archivos/2023/12/17/508_ID_2023133031531_ORD_2443_I._municipalidad_de_Vallenar.pdf,2023-99-53-144|https://seia.sea.gob.cl/archivos/2023/12/17/508_ID_2023133031531_ORD_2443_I._municipalidad_de_Vallenar.pdf
145,2023991021038,2023-99-53-145,Solicitud de informe adicional,Servicio de Evaluación Ambiental Dirección Ejecutiva,,15/12/2023 16:01:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160820037,2023-99-53-145|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160820037
146,1574,2023-99-53-146,Oficio pronunciamiento con observaciones al EIA,Dirección de Obras Hidráulicas,9 destinatarios,15/12/2023 16:47:19,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160768997,2023-99-53-146|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160768997
147,600,2023-99-53-147,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Obras Públicas, Región de Valparaíso",4 destinatarios,18/12/2023 08:21:04,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160805903,2023-99-53-147|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160805903
148,464,2023-99-53-148,Oficio pronunciamiento con observaciones al EIA,"SEREMI MOP, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 10:18:19,https://seia.sea.gob.cl/archivos/2023/12/18/a0f_ORD_464_SEREMI_MOP_ATACAMA.pdf,2023-99-53-148|https://seia.sea.gob.cl/archivos/2023/12/18/a0f_ORD_464_SEREMI_MOP_ATACAMA.pdf
